TPID,Customer Name,AE Covered,SubSegment,Subsidiary,Sales Territory,Vertical,Vertical Category,AE,Azure Motion,Azure Core Specialist,App Inno,Azure D&AI Specialist,Biz Apps Specialist,Low Code Motion,Low Code Specialist,Modern Work Motion,Modern Work Specialist,Security Specialist,Surface Specialist
993255,MISSION FEDERAL CREDIT UNION,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.102,Banking,Credit Unions,ANSCOBEE,SMC Acq Azure,ZAJOHNS,,,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Grow Security,,MARIDEEADLER,JASONALV
991225,Kansas City Life,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.DMA.200.NonAE.DS.111,Insurance,Direct Life Insurance Carriers,,SMC Acq Azure,ZAJOHNS,,,DEREKGOH,SMC Low Code,NATEKIEFERT,SMC Grow MW,BMERVIN,,JASONALV
9900283,Inter National Bank,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.103,Banking,Commercial Banking,PASTURGI,SMC Grow Azure,"MICHELLEKING, KHANRAHAN",ERHALDAN,MWILLEY,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,RODKELLY,DAPATTER
989570,HELIX ELECTRIC INC,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.102,Real Estate,Construction of Infrastructure,ANSCOBEE,SMC Grow Azure,"MICHELLEKING, KEVCARTER",ERHALDAN,BRIANJISHI,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Grow Security,,MARIDEEADLER,JASONALV
9689842,Futuredontics,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.SWA.200.NonAE.DS.312,IT Services & Business Advisory,Managed IT Services,,SMC Grow Azure,"MICHELLEKING, KHANRAHAN",ERHALDAN,MWILLEY,JAWWADBAIG,SMC Low Code,CRLEMUS,SMC Grow Security,,HUGHCOLLINS,RENYABRAHAM
9620058,MIDLAND CREDIT MANAGEMENT,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.102,IT Services & Business Advisory,Managed Services,ANSCOBEE,SMC Grow Azure,"MICHELLEKING, KEVCARTER",ERHALDAN,BRIANJISHI,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Grow Security,,MARIDEEADLER,JASONALV
9575911,"Massage Envy Limited, LLC",SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.DMA.200.NonAE.DS.111,IT Services & Business Advisory,Accounting & Tax Services,,SMC Acq Azure,ZAJOHNS,,,DEREKGOH,SMC Low Code,NATEKIEFERT,SMC Grow MW,BMERVIN,,JASONALV
9506819,PARAMOUNT RESIDENTIAL MORTGAGE,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.103,Capital Markets,Securities Brokerage,ERJAME,SMC Grow Azure,"MICHELLEKING, GEPAULDI",ERHALDAN,BRIANJISHI,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Grow MW,BMERVIN,,JASONALV
9466908,WARE MALCOMB,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.SWA.200.NonAE.DS.A.321,Other Professional Services,Architectural Services,,SMC Acq Azure,DASTENVO,,,MSINGLEY,SMC Low Code,CRLEMUS,SMC Grow MW,KITUNNEY,,RENYABRAHAM
94635548,THOMAS JAMES HOMES,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.101,Other Professional Services,Commercial Contractual,LYVINSON,SMC Acq Azure,ZAJOHNS,,,ALICIACARLO,SMC Low Code,CRLEMUS,SMC Grow Security,,APAULHUS,JASONALV
94086385,Solera Health,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.101,Health Provider,Private Physicians Practices,LYVINSON,SMC Grow Azure,"MICHELLEKING, KAAMBUEH",MFRYE,BRIANJISHI,ALICIACARLO,SMC Low Code,CRLEMUS,SMC Acq MW,ALHOPKIN,,JASONALV
940850,REMINGTON HOTELS,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.SWA.200.NonAE.DS.A.321,Hospitality,"Hotel, Motel & Casino",,SMC Acq Azure,DASTENVO,,,MSINGLEY,SMC Low Code,CRLEMUS,SMC Grow MW,KITUNNEY,,RENYABRAHAM
9294068,NORTHSTAR VENTURES,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.103,IT Services & Business Advisory,Managed IT Services,PASTURGI,SMC Grow Azure,"MICHELLEKING, KHANRAHAN",ERHALDAN,MWILLEY,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,RODKELLY,DAPATTER
92815349,IngenovisHealth,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.101,Health Provider,Svcs Not Elsewhere Classified,LYVINSON,SMC Grow Azure,"MICHELLEKING, KAAMBUEH",MFRYE,BRIANJISHI,ALICIACARLO,SMC Low Code,CRLEMUS,SMC Grow Security,,APAULHUS,JASONALV
9170228,ALLCAT CLAIMS SERVICE,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.SWA.200.NonAE.DS.A.311,Insurance,Other Direct Insurance Carrier,,SMC Acq Azure,DASTENVO,,,DMONCIBAIS,SMC Low Code,CRLEMUS,SMC Acq MW,ADSCHWIC,,RENYABRAHAM
9162658,AMERICAN STATES WATER COMPANY,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.103,Water & Sewage,"Water,Sewage&Waste Disp",ERJAME,SMC Acq Azure,ZAJOHNS,,,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Acq MW,ALHOPKIN,,JASONALV
89805714,Tyson and Mendes,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.104,Other Professional Services,Commercial Contractual,CHCAYWOO,SMC Grow Azure,"MICHELLEKING, KHANRAHAN",ERHALDAN,MWILLEY,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,BRREEVE,DAPATTER
8918705,WEIFIELD CONTRACTING,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.DMA.200.NonAE.DS.111,Real Estate,Specialty Trade Contractors,,SMC Acq Azure,ZAJOHNS,,,DEREKGOH,SMC Low Code,NATEKIEFERT,SMC Grow Security,,MARIDEEADLER,JASONALV
8901849,DriveCam Inc,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.102,Other Professional Services,Architectural Services,ANSCOBEE,SMC Grow Azure,"MICHELLEKING, KEVCARTER",ERHALDAN,BRIANJISHI,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Grow Security,,MARIDEEADLER,JASONALV
87981686,CANTURIO,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.SWA.200.NonAE.DS.312,Hospitality,Other Amusement and Recreation,,SMC Grow Azure,"MICHELLEKING, KHANRAHAN",ERHALDAN,MWILLEY,JAWWADBAIG,SMC Low Code,CRLEMUS,SMC Acq MW,ADSCHWIC,,RENYABRAHAM
8755768,AURORA ORGANIC DAIRY,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.DMA.200.NonAE.DS.111,AgriBusiness,Agriculture& Agricultural Svcs,,SMC Acq Azure,ZAJOHNS,,,DEREKGOH,SMC Low Code,NATEKIEFERT,SMC Grow MW,BMERVIN,,JASONALV
8712656,NEVADA RESTAURANT SERVICES,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.102,IT Services & Business Advisory,Management Consulting,ANSCOBEE,SMC Grow Azure,"MICHELLEKING, KEVCARTER",ERHALDAN,BRIANJISHI,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Grow Security,,MARIDEEADLER,JASONALV
8705699,PSOMAS,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.101,Other Professional Services,Surveying Services,LYVINSON,SMC Grow Azure,"MICHELLEKING, KAAMBUEH",MFRYE,BRIANJISHI,ALICIACARLO,SMC Low Code,CRLEMUS,SMC Grow Security,,APAULHUS,JASONALV
865608,WESCOM CREDIT UNION,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.103,Banking,Credit Unions,ERJAME,SMC Acq Azure,ZAJOHNS,,,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Grow Security,,APAULHUS,JASONALV
8534182,GLOBALENGLISH CORPORATION,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.102,"At scale SW, data & platforms","At scale SW, data & platforms",ANSCOBEE,SMC Grow Azure,"MICHELLEKING, KEVCARTER",ERHALDAN,BRIANJISHI,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Acq MW,ALHOPKIN,,JASONALV
84428132,ICHD Inc.,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.DMA.200.NonAE.DS.111,Other Professional Services,Commercial Contractual,,SMC Acq Azure,ZAJOHNS,,,DEREKGOH,SMC Low Code,NATEKIEFERT,SMC Grow Security,,MARIDEEADLER,JASONALV
8360713,AUTHENTIX ISOTAG,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.104,IT Services & Business Advisory,System Integration,CHCAYWOO,SMC Grow Azure,"MICHELLEKING, KHANRAHAN",ERHALDAN,MWILLEY,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,BRREEVE,DAPATTER
8342359,KINECTA FEDERAL CREDIT UNION,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.101,Banking,Credit Unions,LYVINSON,SMC Acq Azure,ZAJOHNS,,,ALICIACARLO,SMC Low Code,CRLEMUS,SMC Grow Security,,APAULHUS,JASONALV
83133788,CAPTURE 2 PROPOSAL,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.SWA.200.NonAE.DS.A.311,Other Professional Services,Commercial Contractual,,SMC Grow Azure,"MICHELLEKING, DUCHATHA",ERHALDAN,"NENOBIE, MWILLEY",DMONCIBAIS,SMC Low Code,CRLEMUS,SMC Acq MW,ADSCHWIC,,RENYABRAHAM
8304221,INSIGHT INVESTMENTS CORP,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.102,IT Services & Business Advisory,System Integration,ANSCOBEE,SMC Acq Azure,ZAJOHNS,,,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Grow Security,,MARIDEEADLER,JASONALV
82799096,TRAVERE,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.104,Health Provider,Svcs Not Elsewhere Classified,CHCAYWOO,SMC Acq Azure,JAMESVINSON,,,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,BRREEVE,DAPATTER
8272233,Montage Hotels & Resorts LLC,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.101,Hospitality,"Hotel, Motel & Casino",LYVINSON,SMC Grow Azure,"MICHELLEKING, KAAMBUEH",MFRYE,BRIANJISHI,ALICIACARLO,SMC Low Code,CRLEMUS,SMC Grow Security,,APAULHUS,JASONALV
8237872,WCA WASTE CORPORATION,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.SWA.200.NonAE.DS.A.321,Other Professional Services,Commercial Contractual,,SMC Acq Azure,DASTENVO,,,MSINGLEY,SMC Low Code,CRLEMUS,SMC Grow Security,,HUGHCOLLINS,RENYABRAHAM
8146526,TEXAS DOW EMPLOYEES CREDIT UNION,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.104,Banking,Credit Unions,CHCAYWOO,SMC Acq Azure,JAMESVINSON,,,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,BRREEVE,DAPATTER
803872,COMMUNITY MEMORIAL HOSPITAL,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.103,Health Provider,Hospitals,ERJAME,SMC Acq Azure,ZAJOHNS,,,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Acq MW,ALHOPKIN,,JASONALV
8000902,AERA ENERGY LLC,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.SWA.200.NonAE.DS.A.311,Oil & Gas,Oil & Gas,,SMC Acq Azure,DASTENVO,,,DMONCIBAIS,SMC Low Code,CRLEMUS,SMC Acq MW,ADSCHWIC,,RENYABRAHAM
7990419,PIH HEALTH INC,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.103,Health Provider,Hospitals,ERJAME,SMC Acq Azure,ZAJOHNS,,,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Grow Security,,APAULHUS,JASONALV
7819803,JOERIS GENERAL CONTRACTORS,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.104,Real Estate,Specialty Trade Contractors,CHCAYWOO,SMC Acq Azure,JAMESVINSON,,,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,BRREEVE,DAPATTER
77339421,"BJ Energy Solutions, LLC",SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.104,Oil & Gas,Oil & Gas,CHCAYWOO,SMC Grow Azure,"MICHELLEKING, KHANRAHAN",ERHALDAN,MWILLEY,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,BRREEVE,DAPATTER
7596507,UNIVERSITY FEDERAL CREDIT UNION,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.103,Banking,Credit Unions,PASTURGI,SMC Grow Azure,"MICHELLEKING, KHANRAHAN",ERHALDAN,MWILLEY,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,RODKELLY,DAPATTER
74915653,Skydance,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.SWA.200.NonAE.DS.A.321,Hospitality,Other Amusement and Recreation,,SMC Acq Azure,DASTENVO,,,MSINGLEY,SMC Low Code,CRLEMUS,SMC Acq MW,ADSCHWIC,,RENYABRAHAM
7434441,AMHERST HOLDINGS,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.103,Capital Markets,Asset Management,PASTURGI,SMC Grow Azure,"MICHELLEKING, KHANRAHAN",ERHALDAN,MWILLEY,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,RODKELLY,DAPATTER
7408893,FAMILY HEALTH CENTERS OF SD,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.103,Health Provider,Private Physicians Practices,ERJAME,SMC Grow Azure,"MICHELLEKING, GEPAULDI",ERHALDAN,BRIANJISHI,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Grow MW,BMERVIN,,JASONALV
7401395,4WALL ENTERTAINMENT,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.DMA.200.NonAE.DS.A.111,Media & Entertainment,"Books, Magazines, Newspaper",,SMC Acq Azure,ZAJOHNS,,,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Grow MW,BMERVIN,,JASONALV
7338900,CW DRIVER INC,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.SWA.200.NonAE.DS.312,Real Estate,Property Management,,SMC Grow Azure,"MICHELLEKING, KHANRAHAN",ERHALDAN,MWILLEY,JAWWADBAIG,SMC Low Code,CRLEMUS,SMC Grow Security,,HUGHCOLLINS,RENYABRAHAM
72868283,Carl Dopart,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.DMA.200.NonAE.DS.A.111,Other - Unsegmented,Other - Unsegmented,,SMC Acq Azure,ZAJOHNS,,,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Acq MW,ALHOPKIN,,JASONALV
727626,Econolite,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.101,Transport & Logistics,Transport Support Activities,LYVINSON,SMC Grow Azure,"MICHELLEKING, KAAMBUEH",MFRYE,BRIANJISHI,ALICIACARLO,SMC Low Code,CRLEMUS,SMC Grow Security,,APAULHUS,JASONALV
71817065,US Endodontics Partners,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.104,Health Provider,Svcs Not Elsewhere Classified,CHCAYWOO,SMC Acq Azure,JAMESVINSON,,,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,BRREEVE,DAPATTER
